 Id,Date,Location_name,Lat,Long,Coordinator,Purpose,Method,Abtract,Data,Article
1,2019-10,Monteriggioni,43.3471953,11.3051249,R. Deiana,Archeology,ERT,,,
2,2019-10,Sienna,,,R. Deiana,Archeology,ERT,,,
3,2020-02,Lamosano,46.172658,12.386934,G. Cassiani,Geohazard,ERT,,,
4,2020-02,Posina,,,G. Cassiani,Geohazard,ERT,,,
5,2019-02,Aviano,46.07056,12.59472,G. Cassiani,Geohazard,"ERT, GPR",,,
6,2019-03,Catania,37.5,15.090278,G. Cassiani; D. Vanella,Interaction soil-plant-atmosphere,,,,
7,2019-05,Asiago,45.875885,11.50962,G. Cassiani,Geohazard,ERT,,,
8,2019-06,Tunis,36.806389,10.181667,G. Cassiani,Interaction soil-plant-atmosphere,ERT,,,
9,2019-10,Tel-Aviv,32.111767,34.801361,G. Cassiani; Nimrod Schwartz,Interaction soil-plant-atmosphere,ERT,,,
10,2019-10,Mestre,45.47152,12.24017,G. Cassiani,Geohazard,ERT; MALM,,,
11,2010-01,Vix,46.3667,-0.8667,METIS UMR,Archeology,"EM, Mag",,,
12,2010-01,Merlimont,50.45,1.6167,METIS UMR,Geohazard,Seismic; ERT; EM; TDEM,"Determination of tectonic structure of a chalk aquifer coastal by geophysical investigations (Nord Pas-de-Calais, France)",,
13,2012-01,Vars,44.5977,6.6917,Sebastien Merckle; Marc Wathelet; Cecile Cornou,Geohazard,"S, Surface Waves and $ H/V $ ratio",,,
14,2018-05,Bordeaux,44.8333,-0.5667,B. Mary;  M. Schmutz,Interaction soil-plant-atmosphere,,experimental benchmarking on IP imaging methods applied to vine root systems in Bordeaux merging different teams. ,,
15,2018-01,Naples,40.853294,14.305573,L. Busato,Interaction soil-plant-atmosphere,,ECOREMED life project: bioremediation of a contaminated site using agriculture-based soil restoration techniques. Assessing and quantify via geophysical imaging the potential positive effects of root in the reduction of soil disturbance due to the presence of long standing crops.,,
16,2016,Chateaux La Louvière,44.8333,6.6917,G. Cassiani; M. Schmutz,Interaction soil-plant-atmosphere,"subsurface (geophysical assessment), surface (Sap flow) and remotes observation (evapotranspiration and hyperspectral imaging measurements)","geophysical prospecting on Bordeaux vineyard observatory (Chateaux La Louvière, France), collaboration with Bordeaux INP, University Bordeaux Montaigne",,
17,2016 2017,Saint Michel l’Observatoire,43.9167,5.7167,I. Reiter,Interaction soil-plant-atmosphere,,,,
